ID,Age,DOB,Name,OVR,POT,Prone,STU P,CON P,HRR P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,VELO,STM,Draft,OA Pick
9716,32,06/16/1988,Zack Campbell,2.0 Stars,2.0 Stars,Normal,45,40,50,50,-,-,-,55,-,45,-,-,-,-,-,92-94,60,2009,6
10048,32,12/31/1988,CECIL CANTRELL,2.5 Stars,2.5 Stars,Normal,50,35,65,55,65,-,-,60,25,-,-,-,-,-,-,92-94,55,2010,6
10893,27,04/04/1994,Jordan Gonzalez,2.5 Stars,2.5 Stars,Normal,50,50,50,80,40,50,-,-,60,-,-,-,-,-,-,96-98,55,2013,6
11372,28,12/09/1992,John Hensley,2.5 Stars,2.5 Stars,Fragile,45,50,45,-,35,55,-,-,30,55,-,-,-,55,-,94-96,55,2012,6
7933,33,08/27/1987,Dave Landin,3.0 Stars,3.0 Stars,Fragile,50,60,55,-,60,60,40,-,-,60,-,-,-,-,-,92-94,50,2005,6
15707,18,09/07/2002,Mike Sutton  Jr,1.0 Stars,4.5 Stars,Normal,70,55,65,80,80,-,80,-,-,-,-,-,-,-,-,96-98,70,2021,6
8036,34,05/13/1987,Nick Thomas,2.5 Stars,2.5 Stars,Wrecked,45,65,45,-,50,-,50,-,-,60,-,-,-,-,-,94-96,60,2006,6
9126,35,04/29/1986,Marco Bravo,2.0 Stars,2.0 Stars,Fragile,50,40,45,55,35,-,-,55,60,-,-,-,-,-,-,93-95,50,2008,7
10179,28,02/06/1993,TOM DALLMAN,2.5 Stars,2.5 Stars,Fragile,60,45,45,75,40,-,70,55,-,65,-,-,-,-,-,96-98,30,2011,7
7027,36,07/28/1984,Ryan Lakes,3.0 Stars,3.0 Stars,Iron Man,55,45,55,60,-,-,30,60,-,-,-,-,-,-,-,93-95,55,2003,7
11690,25,06/05/1995,Jose Miranda,3.0 Stars,3.0 Stars,Fragile,45,55,55,50,45,-,-,50,-,50,-,-,-,-,-,93-95,45,2014,7
13343,23,04/14/1998,Jamie Munson,2.0 Stars,2.5 Stars,Fragile,50,50,65,60,50,-,-,50,65,-,-,-,-,-,-,94-96,50,2018,7
10885,29,07/29/1991,DANNY PERALTA,2.5 Stars,2.5 Stars,Normal,50,45,50,-,50,50,-,55,35,55,-,-,-,-,-,93-95,55,2013,7
10825,27,01/05/1994,COREY PITMAN,2.5 Stars,2.5 Stars,Fragile,55,45,55,65,-,50,-,-,55,40,-,-,-,-,-,94-96,65,2012,7
15604,23,12/31/1997,Bob Rolston,2.0 Stars,3.5 Stars,Normal,75,50,60,80,-,-,80,-,-,-,-,-,-,-,-,97-99,30,2020,7
9705,33,09/26/1987,JOE ROSS,3.0 Stars,3.0 Stars,Normal,55,60,50,50,55,80,40,-,55,-,-,-,-,-,-,91-93,55,2009,7
15868,19,01/27/2002,Andy Singman  Jr,1.5 Stars,3.0 Stars,Normal,55,60,65,75,65,-,80,-,-,-,-,-,-,-,-,92-94,45,2021,7
12373,23,10/19/1997,Reginald Verschuur,2.0 Stars,2.5 Stars,Normal,70,40,55,80,55,75,-,65,-,-,-,-,-,80,-,96-98,35,2016,7
14589,21,05/28/2000,Ruben Calle,1.5 Stars,5.0 Stars,Normal,80,75,80,80,80,-,-,70,-,80,-,-,-,-,-,95-97,30,2019,8
15086,19,07/10/2001,Mason Kent,1.5 Stars,2.0 Stars,Normal,55,45,45,75,50,65,70,60,35,-,-,-,-,-,-,95-97,60,2020,8
13944,21,02/23/2000,Mendel Steenbergen,1.5 Stars,2.0 Stars,Normal,50,50,50,65,50,-,-,-,-,40,-,-,70,-,-,93-95,40,2018,8
14518,21,04/11/2000,Elias Franco,1.5 Stars,2.5 Stars,Normal,50,50,55,50,35,-,-,55,-,55,-,-,-,-,-,91-93,60,2019,9
8016,34,05/18/1987,JUSTIN HUGHES,2.5 Stars,2.5 Stars,Fragile,50,50,45,-,55,55,55,-,20,50,-,-,-,60,-,93-95,50,2006,9
15690,19,05/27/2002,Rafael Lagos,1.5 Stars,3.5 Stars,Normal,65,55,70,80,65,-,80,75,-,-,-,-,-,-,-,92-94,35,2021,9
10970,25,07/18/1995,Pete Malcolm,2.0 Stars,2.0 Stars,Durable,55,45,50,75,-,-,65,60,-,-,-,-,-,-,-,95-97,45,2014,9
7991,32,09/02/1988,Danny Tobin,2.5 Stars,2.5 Stars,Normal,45,50,45,50,55,-,-,-,-,55,-,-,-,-,-,92-94,55,2009,9
15818,19,07/13/2001,Jason Waller,1.5 Stars,2.0 Stars,Normal,50,45,50,75,50,-,-,-,-,-,-,-,70,-,-,92-94,50,2020,9
13342,22,03/18/1999,Tom Bach,2.0 Stars,3.5 Stars,Normal,55,50,65,-,60,70,80,75,50,-,-,-,-,-,-,97-99,65,2018,10
12942,23,05/26/1998,HYUN-WOO KIM,2.0 Stars,2.5 Stars,Fragile,50,55,50,60,50,65,55,-,-,-,-,-,-,-,-,93-95,65,2016,10
15684,19,05/17/2002,Cullen Lindelof,1.0 Stars,3.0 Stars,Normal,60,60,50,80,55,-,-,-,-,80,-,-,-,-,-,93-95,35,2021,10
7342,35,08/26/1985,JUAN MARTINEZ,2.5 Stars,2.5 Stars,Wrecked,50,65,50,50,25,-,-,50,-,55,-,-,-,-,-,92-94,65,2004,10
14370,20,01/29/2001,Devin Weicker,1.5 Stars,2.5 Stars,Normal,50,50,50,-,-,55,-,-,-,80,-,50,-,-,-,94-96,50,2019,10
8667,36,10/27/1984,Nick Welty,2.0 Stars,2.0 Stars,Wrecked,45,50,45,50,-,50,-,50,-,25,-,-,-,-,-,91-93,50,2006,10
10113,28,07/23/1992,RYAN FREITAS,2.0 Stars,2.0 Stars,Normal,50,35,45,55,45,-,-,-,35,50,50,-,-,-,-,95-97,35,2011,11
11517,26,03/03/1995,Ralph Hamilton,3.0 Stars,3.0 Stars,Normal,45,65,60,45,40,50,50,45,45,-,-,-,-,-,-,92-94,45,2014,11
16225,22,03/09/1999,Odwin MacDonald,2.0 Stars,3.0 Stars,Normal,55,60,65,75,-,-,-,65,-,75,-,-,-,-,-,92-94,40,2021,11
7871,39,05/08/1982,David Powers,2.5 Stars,2.5 Stars,Iron Man,45,50,50,45,45,45,45,45,-,-,-,-,-,45,-,91-93,75,2004,11
11569,24,08/02/1996,ROY STEEL,2.0 Stars,2.5 Stars,Normal,50,45,65,70,60,55,70,-,-,-,-,-,-,-,-,95-97,45,2018,11
10832,28,04/06/1993,Isaiah Williams,2.0 Stars,2.0 Stars,Fragile,45,40,50,-,50,-,-,-,55,60,-,-,-,-,-,92-94,50,2012,11
10995,25,10/19/1995,Tony Aguilar,2.0 Stars,2.0 Stars,Normal,50,40,45,55,45,50,-,-,-,50,-,-,-,-,-,94-96,35,2014,12
13064,23,05/11/1998,Aydan Cote,2.5 Stars,4.0 Stars,Normal,50,70,80,55,55,-,-,80,-,-,-,-,-,-,-,95-97,45,2017,12
10132,28,11/20/1992,Devin Johnson,2.5 Stars,2.5 Stars,Iron Man,50,55,45,-,40,-,65,60,50,-,-,-,-,-,-,96-98,50,2011,12
15073,19,07/14/2001,Salvatore Lopez,1.5 Stars,2.5 Stars,Durable,50,55,55,55,55,-,55,40,-,-,-,-,-,-,-,91-93,40,2020,12
13398,22,09/30/1998,Shamar Mayfield,1.5 Stars,2.0 Stars,Normal,50,40,50,-,45,50,-,50,-,55,-,-,-,-,-,96-98,55,2018,12
8455,33,01/29/1988,Colin McGuire,2.5 Stars,2.5 Stars,Normal,50,60,45,55,-,-,50,50,-,-,-,-,25,-,-,93-95,40,2006,12
10579,28,04/21/1993,Ross Miranda,2.0 Stars,2.0 Stars,Normal,50,35,40,55,55,-,-,50,40,-,-,55,-,-,-,94-96,60,2012,12
8768,31,09/29/1989,John Parks,3.0 Stars,3.0 Stars,Iron Man,50,60,55,65,-,-,70,65,-,-,-,-,-,-,-,94-96,55,2008,12
10912,25,06/01/1995,Jeremy Becker,2.5 Stars,2.5 Stars,Normal,70,45,50,80,30,-,-,-,80,-,-,-,-,-,-,97-99,55,2013,13
8025,34,03/31/1987,Jason Campbell,2.5 Stars,2.5 Stars,Normal,45,50,60,-,55,45,-,-,20,50,-,-,-,50,-,93-95,50,2006,13
11799,24,01/27/1997,Dave Larocque,2.5 Stars,2.5 Stars,Fragile,55,50,50,80,-,-,-,75,-,55,-,-,-,-,-,98-100,45,2015,13
10961,25,07/14/1995,Chris Palladino,2.0 Stars,2.0 Stars,Normal,55,50,40,60,-,-,65,50,-,-,-,-,45,-,-,92-94,45,2014,13
15813,22,09/23/1998,Ryan Richard,2.0 Stars,3.5 Stars,Normal,80,40,70,80,-,-,80,80,-,-,-,-,-,-,-,100+,45,2020,13
8482,32,01/12/1989,TOM BUTLER,3.0 Stars,3.0 Stars,Durable,45,65,55,-,35,65,-,-,-,50,-,-,60,-,-,91-93,60,2007,14
7683,35,05/16/1986,Benny Gesserit,2.5 Stars,2.5 Stars,Iron Man,45,50,50,50,40,-,-,50,-,50,-,-,-,25,-,94-96,75,2005,14
7592,34,08/07/1986,Ken Pagel,2.0 Stars,2.0 Stars,Wrecked,50,45,45,55,-,65,-,-,-,50,-,-,-,-,-,94-96,30,2004,14
12296,29,02/07/1992,Largo Andretto,2.0 Stars,2.0 Stars,Fragile,50,50,40,70,45,55,55,-,-,-,-,-,-,-,-,94-96,40,2014,15
10833,27,07/03/1993,RUSSELL BARANOSKI,2.5 Stars,2.5 Stars,Durable,45,55,45,55,35,-,60,-,-,-,-,-,-,-,-,95-97,55,2012,15
10152,29,05/22/1992,ANDRES CORTEZ,3.0 Stars,3.0 Stars,Normal,50,45,60,65,60,-,-,-,55,-,-,-,-,-,-,95-97,55,2011,15
15577,19,07/25/2001,Tye Gladstone,1.5 Stars,2.5 Stars,Normal,55,50,50,-,50,65,60,-,65,60,-,-,-,55,-,92-94,55,2020,15
15686,18,08/15/2002,Thomas Hardy,1.5 Stars,5.0 Stars,Normal,80,50,80,-,-,80,-,80,-,-,-,-,-,-,-,94-96,25,2021,15
10593,26,09/17/1994,Justin Kondapaneni,2.5 Stars,2.5 Stars,Durable,50,40,55,65,50,-,-,40,-,50,-,-,-,-,-,95-97,60,2013,15
9747,29,03/24/1992,CHRIS MORRIS,1.5 Stars,2.0 Stars,Iron Man,45,50,40,50,-,70,-,-,35,-,-,-,-,-,-,94-96,55,2010,15
15093,19,02/05/2002,Alex Garcia,1.5 Stars,3.0 Stars,Normal,80,55,50,80,-,80,-,80,-,-,-,-,-,-,70,94-96,35,2020,16
10933,30,04/26/1991,Jeff Kelley,2.0 Stars,2.0 Stars,Fragile,45,35,50,50,-,-,-,45,-,45,-,25,-,-,-,93-95,50,2013,16
13809,22,02/12/1999,Yugi Muto,2.0 Stars,2.0 Stars,Normal,50,40,40,-,50,50,-,-,45,55,-,-,-,60,-,94-96,60,2017,16
6718,37,08/10/1983,Dusty Nelson,3.0 Stars,3.0 Stars,Iron Man,45,55,65,50,45,-,-,40,-,45,-,-,-,-,-,91-93,65,2002,16
14413,21,09/01/1999,Luis Ruiz,2.0 Stars,2.0 Stars,Normal,55,55,50,70,-,-,65,-,-,-,-,-,-,-,-,94-96,25,2018,16
15617,19,09/22/2001,Bob Black,1.5 Stars,2.5 Stars,Normal,50,50,55,50,-,60,-,60,65,-,-,-,-,-,-,89-91,60,2020,17
11754,24,11/27/1996,Landon Gunn,2.0 Stars,2.0 Stars,Normal,45,40,45,-,45,45,50,-,40,45,-,-,-,-,-,94-96,40,2015,17
10184,28,10/30/1992,Jose Hernandez,2.5 Stars,2.5 Stars,Normal,45,45,50,-,45,50,30,45,-,50,-,-,-,-,-,94-96,65,2011,17
15729,18,01/04/2003,Jonathan Pinkley,1.0 Stars,2.5 Stars,Normal,65,35,50,80,80,-,50,-,-,-,-,-,-,-,-,95-97,55,2021,17
14477,20,02/17/2001,Zivojin Stanovcic,1.5 Stars,3.0 Stars,Durable,60,45,70,-,75,80,75,-,70,70,-,-,-,-,-,93-95,65,2019,17
16230,22,03/11/1999,Ishaq bin Jamal,2.0 Stars,3.0 Stars,Normal,70,55,55,-,-,80,-,-,-,80,-,-,-,-,-,94-96,30,2021,18
10608,26,11/19/1994,Cody Hillock,2.0 Stars,2.0 Stars,Durable,45,50,45,55,-,-,50,50,-,-,-,30,-,-,-,93-95,45,2013,18
8734,31,01/16/1990,Glen McClees,2.5 Stars,2.5 Stars,Normal,50,55,55,50,-,65,-,30,-,-,-,-,-,-,-,91-93,50,2008,18
11770,23,08/30/1997,Ceasario Menocchio,2.0 Stars,2.0 Stars,Normal,45,40,55,55,50,-,60,-,-,-,-,-,-,-,-,93-95,35,2015,18
13817,26,05/13/1995,Billy Bogle,2.5 Stars,2.5 Stars,Fragile,50,45,55,45,60,50,50,45,-,-,-,-,-,-,-,90-92,55,2017,19
9587,29,12/09/1991,TYLER JEX,2.0 Stars,2.0 Stars,Fragile,50,45,50,55,25,-,-,50,-,-,-,-,-,-,-,93-95,25,2013,19
15571,23,10/02/1997,Hidehiko Nomura,2.0 Stars,4.0 Stars,Normal,75,60,80,-,-,80,-,-,-,80,-,-,-,-,-,96-98,30,2019,19
16246,22,12/08/1998,Declan Young,3.0 Stars,3.5 Stars,Normal,50,80,80,-,-,-,55,65,-,-,-,-,-,-,-,89-91,30,2021,19
13390,22,03/07/1999,Jeremy Youngberry,1.5 Stars,2.0 Stars,Normal,55,45,45,60,50,50,50,55,-,-,-,-,-,-,-,92-94,45,2018,19
12955,26,01/23/1995,HELIODORO CARRAPA,3.0 Stars,3.0 Stars,Normal,40,60,60,40,45,-,40,40,45,40,-,-,-,-,-,90-92,55,2016,20
14458,19,09/03/2001,Tim Cody,1.5 Stars,3.0 Stars,Normal,40,75,75,-,-,45,-,45,-,-,-,50,-,-,-,89-91,65,2019,20
14537,24,11/18/1996,Liam Hendricks,2.0 Stars,2.0 Stars,Normal,50,45,50,50,-,50,-,40,-,55,-,-,-,-,-,91-93,25,2018,20
16224,18,12/24/2002,Valerio Lopez,1.5 Stars,2.5 Stars,Normal,40,60,65,40,-,-,-,-,55,50,-,-,-,-,-,86-88,55,2021,20
10831,30,10/14/1990,Juan Vasquez,2.0 Stars,2.0 Stars,Normal,50,30,50,60,50,-,65,40,-,-,-,-,-,-,-,95-97,35,2012,20
11366,31,12/02/1989,Pedro Fierro,2.0 Stars,2.0 Stars,Normal,45,45,50,-,50,50,45,45,40,-,-,-,-,-,-,91-93,50,2012,21
10095,29,04/13/1992,Frank Armstrong,2.0 Stars,2.0 Stars,Normal,45,55,45,65,-,50,50,-,-,-,-,-,-,-,-,95-97,55,2011,56
13937,21,01/08/2000,Pedrag Buturovic,1.5 Stars,2.5 Stars,Durable,50,55,55,75,60,-,55,-,-,-,-,-,-,-,-,93-95,55,2018,22
11583,24,11/28/1996,Matt Marr,2.0 Stars,2.0 Stars,Normal,50,50,45,55,45,-,65,65,-,-,-,-,50,-,-,96-98,50,2015,21
14512,20,10/18/2000,David More,1.5 Stars,3.5 Stars,Normal,60,65,55,80,-,-,80,75,-,-,-,-,-,-,-,94-96,65,2019,21
15689,19,05/27/2002,Elmar Tijhuis,1.5 Stars,3.0 Stars,Normal,40,80,65,45,50,45,-,35,-,-,-,-,-,-,-,88-90,50,2021,21
11013,26,05/15/1995,CHIRA WINN,2.0 Stars,2.0 Stars,Fragile,55,45,40,70,-,-,-,50,-,50,-,-,-,-,-,94-96,55,2014,21
15551,20,11/15/2000,Jacques Bonnet,1.5 Stars,2.0 Stars,Normal,45,45,50,50,45,-,-,-,50,-,-,-,-,-,-,89-91,55,2019,22
12410,23,11/01/1997,BRODY DALLE,2.0 Stars,2.0 Stars,Normal,55,40,50,-,60,70,-,-,45,70,-,-,-,75,-,95-97,45,2016,22
8745,32,04/17/1989,JAY GRUBBS,2.5 Stars,2.5 Stars,Iron Man,50,45,50,55,-,-,55,-,-,-,-,-,-,-,-,93-95,60,2008,247
13883,21,04/07/2000,Joe Perrine,1.5 Stars,2.5 Stars,Normal,60,45,50,80,50,-,-,-,80,-,-,-,-,-,-,99-101,55,2018,23
15632,22,10/19/1998,Oscar Gonzalez,1.5 Stars,2.5 Stars,Normal,50,50,50,50,65,-,40,55,-,-,-,-,-,-,-,90-92,50,2020,23
15854,18,12/13/2002,Jong-hun Lee,1.5 Stars,3.0 Stars,Normal,45,80,75,-,-,-,30,50,70,50,-,-,-,-,-,86-88,40,2021,23
13821,25,06/20/1995,Bogdan Loman,2.0 Stars,2.5 Stars,Normal,45,60,55,-,60,-,50,-,-,55,-,-,-,-,-,89-91,55,2017,23
11760,23,08/06/1997,Mike Aron,2.0 Stars,2.0 Stars,Normal,50,50,50,65,50,55,-,40,-,-,-,-,-,-,-,95-97,25,2015,22
14496,20,09/28/2000,Jeff Buonaiuti,1.5 Stars,2.5 Stars,Normal,55,45,55,65,60,80,-,65,-,60,-,-,-,-,-,93-95,55,2019,23
15085,19,09/07/2001,Richard Cross,1.5 Stars,3.0 Stars,Normal,55,50,55,75,60,-,-,-,-,75,-,-,-,-,-,91-93,65,2020,24
10821,31,04/27/1990,Kevin Floyd,2.5 Stars,2.5 Stars,Fragile,45,40,50,60,50,55,45,-,-,-,-,-,-,-,-,94-96,60,2012,23
12999,24,02/11/1997,ALEX OCHOA,2.5 Stars,2.5 Stars,Fragile,45,55,50,50,50,50,45,45,-,-,-,-,-,-,-,94-96,50,2016,24
13892,21,02/24/2000,Hiroya Tanigawa,1.5 Stars,2.5 Stars,Fragile,50,50,50,50,55,-,-,65,-,-,-,-,-,-,-,94-96,65,2018,26
11450,27,05/22/1994,ALVIN ALEXANDER,2.5 Stars,2.5 Stars,Fragile,50,50,50,65,-,80,-,-,-,-,-,-,-,-,-,95-97,35,2013,24
10823,30,06/27/1990,SEAN BLUNT,1.5 Stars,1.5 Stars,Durable,40,25,40,45,20,45,40,40,-,-,-,-,-,-,-,93-95,40,2012,24
14565,20,08/06/2000,Dylan Miners,1.5 Stars,2.0 Stars,Fragile,55,30,45,70,55,-,-,50,-,-,-,-,-,80,-,92-94,45,2019,24
13299,24,05/07/1997,Dae-hyung Oh,2.0 Stars,2.5 Stars,Normal,50,50,50,70,-,-,-,40,-,50,-,-,-,-,-,96-98,40,2017,25
13393,23,03/07/1998,Jonathan Patrick,2.0 Stars,2.0 Stars,Durable,50,50,45,55,50,-,-,-,-,50,-,-,-,-,-,92-94,45,2018,27
13050,22,08/21/1998,Josh Boyden,1.5 Stars,2.0 Stars,Durable,50,45,55,65,50,-,-,-,-,55,-,-,-,-,-,93-95,35,2017,26
7564,38,08/07/1982,Ryan Casteel,2.0 Stars,2.0 Stars,Iron Man,45,40,50,45,-,50,-,40,-,-,-,-,-,-,-,92-94,50,2004,21
11791,24,08/03/1996,Ricardo Chavez,2.5 Stars,2.5 Stars,Normal,50,50,55,55,50,-,-,55,-,-,-,-,-,-,-,92-94,60,2015,24
8317,31,09/20/1989,Allen Clarke,2.5 Stars,2.5 Stars,Wrecked,40,70,45,50,35,50,-,-,-,-,-,-,-,-,-,93-95,50,2007,19
9147,31,04/13/1990,Mike Hawes,3.5 Stars,3.5 Stars,Normal,50,80,50,60,50,35,-,-,-,65,-,-,-,-,-,94-96,65,2009,21
16407,22,03/17/1999,Lee Jordan,2.0 Stars,3.5 Stars,Durable,80,35,60,80,80,-,55,80,-,-,-,-,-,80,-,96-98,65,2021,26
15658,23,03/26/1998,Lance Lake,1.5 Stars,2.0 Stars,Normal,35,65,60,35,45,-,40,40,-,-,-,-,-,-,-,87-89,40,2020,26
8005,34,05/17/1987,JUSTIN MOORE,2.5 Stars,2.5 Stars,Normal,45,55,45,50,25,-,45,45,-,-,-,-,-,-,-,93-95,40,2006,20
13037,22,07/09/1998,Dustin Calhoun,2.0 Stars,2.0 Stars,Normal,50,45,50,55,50,55,-,-,-,50,-,-,-,-,-,94-96,35,2017,27
14457,20,10/11/2000,Robert DeNeve,1.5 Stars,2.0 Stars,Durable,55,40,40,75,-,-,-,55,-,55,-,-,-,-,-,95-97,25,2019,26
9506,30,04/28/1991,Javier Maciel,2.5 Stars,2.5 Stars,Iron Man,50,30,55,50,-,-,30,50,40,-,-,-,-,-,-,94-96,50,2009,22
9744,30,03/10/1991,ARTURO MENDEZ,2.0 Stars,2.0 Stars,Wrecked,45,55,45,50,30,-,50,-,-,-,-,-,-,-,-,96-98,30,2010,23
13974,21,08/19/1999,Wes Piper,1.5 Stars,2.0 Stars,Normal,45,45,45,50,35,50,-,50,-,-,-,-,-,-,-,91-93,55,2018,29
