ID,POS,Name,ORG,Lev,DOB,B,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,Prone,Left,HT P,CON P,GAP P,POW P,EYE P,K P,SPE,SR,STE,Sct,SctAcc,Draft,OA Pick
15711,RP,Hugo Esparza,CLE,R,06/12/2002,S,1.0 Stars,2.0 Stars,H,N,N,N,N,N,Unknown,Normal,10-11 months,40,30,25,20,25,20,30,25,25,Mar. 14th   2021,Avg,2021,165
13991,SP,Richard Martinez,DUB,AA,08/06/1998,S,1.5 Stars,2.0 Stars,N,N,N,N,H,N,Normal,Normal,10-11 months,45,45,30,25,30,45,30,25,20,May 23rd   2021,High,0,0
14169,RP,Hussein Dharr,LON,A,12/16/1998,L,1.5 Stars,1.5 Stars,N,N,N,N,N,N,Normal,Fragile,10 months,40,40,30,25,30,40,25,25,20,May 24th   2021,High,0,0
13087,RP,Dario Gomez,AMS,A,07/06/1998,R,2.0 Stars,2.5 Stars,L,N,N,N,N,N,Normal,Normal,10 months,35,35,30,20,35,40,25,25,20,Jun. 13th   2021,V.High,2017,178
14312,SP,Mario Martinez,GAL,A,02/23/1999,L,1.5 Stars,2.0 Stars,N,N,N,N,N,N,Normal,Fragile,10 months,25,30,30,20,40,35,25,25,20,May 1st   2021,High,0,0
12407,SP,ELARD KOOLE,STU,MLB,01/01/1998,L,2.0 Stars,2.5 Stars,N,L,N,N,N,N,Normal,Normal,9-10 months,45,45,30,30,45,45,20,25,20,Jun. 29th   2021,V.High,2016,44
7342,SP,JUAN MARTINEZ,LAP,MLB,08/26/1985,R,3.0 Stars,3.0 Stars,N,N,L,N,N,N,Normal,Wrecked,9-10 months,40,40,30,20,35,35,20,20,20,Jun. 30th   2021,V.High,2004,10
8036,SP,Nick Thomas,CLE,AAA,05/13/1987,R,2.5 Stars,2.5 Stars,N,H,H,L,N,N,Prankster,Wrecked,8-9 months,20,20,25,25,20,20,20,20,20,May 16th   2021,V.High,2006,6
14328,RP,Carlomaria Alti,DEN,MLB,05/07/1999,R,1.5 Stars,2.5 Stars,N,N,N,H,N,N,Normal,Fragile,8 months,20,25,35,30,35,30,35,30,30,Jun. 7th   2021,V.High,0,0
12427,SP,ADAM KAUFMAN,DUB,MLB,06/08/1997,R,2.5 Stars,2.5 Stars,N,N,N,H,N,N,Normal,Normal,8 months,40,40,35,25,40,40,45,30,20,Jun. 7th   2021,V.High,2016,55
13813,RP,Paul Rathwell,HAV,AAA,10/21/1995,R,2.0 Stars,2.0 Stars,N,N,N,N,N,N,Normal,Normal,8 months,50,45,35,25,35,45,25,20,20,Mar. 10th   2021,High,2017,156
14084,SP,Herman Takens,TOR,A,01/22/1999,R,1.0 Stars,1.5 Stars,N,N,N,L,N,N,Normal,Normal,8 months,35,40,35,20,35,40,20,20,20,Jun. 12th   2021,High,0,0
14921,SP,Min-kyu Ahn,GAL,R,10/04/1999,L,0.5 Stars,1.5 Stars,L,N,N,N,H,N,Normal,Normal,7 months,30,35,30,20,35,35,25,20,20,Mar. 9th   2021,Avg,0,0
12033,SP,Pedrag Sesely,LAP,MLB,07/26/1995,L,2.0 Stars,2.0 Stars,L,N,L,N,L,N,Unmotivated,Normal,7 months,40,40,30,25,45,45,20,35,35,Jun. 29th   2021,V.High,0,0
12750,3B,Michinao Yamamoto,VAN,MLB,04/12/1997,R,2.5 Stars,3.5 Stars,N,N,H,N,H,H,Sparkplug,Normal,7 months,55,55,55,65,50,55,50,50,35,Apr. 26th   2021,High,0,0
14321,SP,Raul Fresquez,DUB,MLB,04/26/1986,L,3.5 Stars,3.5 Stars,N,H,H,L,N,N,Fan Fav,Normal,6-7 months,40,40,35,25,35,35,20,20,20,Jun. 3rd   2021,V.High,0,0
7978,DH,Joe Neilson,CLE,MLB,08/14/1987,S,2.5 Stars,2.5 Stars,N,L,N,H,H,L,Normal,Fragile,6-7 months,55,55,55,50,45,55,50,70,60,Apr. 25th   2021,High,2006,7
13074,RP,Jean Berger,LDN,AA,08/27/1999,R,2.0 Stars,2.0 Stars,N,N,L,N,N,N,Normal,Fragile,5-6 months,35,40,30,25,35,40,30,25,20,Jun. 29th   2021,V.High,2017,66
13550,SP,Daniel Dunn,HAV,AAA,12/15/1997,S,1.5 Stars,2.0 Stars,N,N,L,N,N,N,Outspoken,Fragile,5-6 months,30,35,30,35,35,40,20,20,25,Jun. 11th   2021,V.High,0,0
11831,RP,Gabel Lijzenga,RME,AA,12/29/1995,L,2.0 Stars,2.5 Stars,N,N,L,N,L,N,Unmotivated,Durable,5-6 months,40,40,35,25,40,45,20,20,25,Mar. 13th   2021,High,0,0
12959,RP,HORST RIJNEVELD,HAV,AAA,10/22/1997,R,1.5 Stars,2.0 Stars,N,N,H,L,H,N,Sparkplug,Fragile,5-6 months,20,30,35,20,40,35,25,25,25,May 31st   2021,V.High,2016,180
9606,LF,JOSH FUNSTON,HAV,MLB,04/04/1991,L,2.5 Stars,2.5 Stars,H,N,N,N,N,N,Normal,Normal,5 months,50,60,50,50,45,80,35,40,30,Apr. 30th   2021,High,2010,91
12944,2B,CLIVE NAYLOR,CAL,AA,01/10/1994,R,2.0 Stars,2.0 Stars,L,H,H,L,H,H,Normal,Normal,5 months,50,45,55,50,40,45,55,50,45,Mar. 12th   2021,High,2016,37
16232,CF,Chad Patterson,DUB,AA,03/16/1999,S,2.0 Stars,3.0 Stars,N,N,N,N,N,N,Unknown,Normal,5 months,55,60,80,50,55,60,55,55,55,Jun. 1st   2021,High,2021,72
11716,SP,ADRIÃO TANAKA,VAN,AAA,06/27/1993,R,2.0 Stars,2.0 Stars,H,N,N,N,N,N,Captain,Fragile,5 months,25,30,30,25,35,35,20,20,20,Jun. 29th   2021,V.High,2014,149
11505,SP,DAVE CAVAZOS,SMT,AA,07/05/1995,S,2.0 Stars,2.0 Stars,N,H,N,N,N,H,Normal,Normal,4-5 months,50,45,40,30,45,45,25,25,20,Jun. 16th   2021,V.High,2014,99
13533,RP,Gilles Checchinato,DEN,AA,07/16/1998,R,1.5 Stars,1.5 Stars,L,L,L,H,L,L,Unmotivated,Normal,4-5 months,25,25,35,25,35,30,25,20,20,Jun. 26th   2021,V.High,0,0
13741,SP,Kane Aston,TOK,A,07/12/1998,S,1.5 Stars,2.0 Stars,U,U,U,U,U,U,Normal,Fragile,4 months,20,30,35,35,30,35,30,20,25,Jul. 9th   2020,Low,0,0
15443,RP,Samuele Fisichella,CUR,R,06/18/2001,R,1.0 Stars,1.5 Stars,U,U,U,U,U,U,Normal,Normal,4 months,25,25,25,25,25,20,25,25,20,Mar. 6th   2021,Low,0,0
12003,RP,Miguel Franco,ADE,AA,06/09/1996,L,1.5 Stars,1.5 Stars,L,H,L,L,N,N,Normal,Normal,4 months,30,30,25,20,30,30,20,25,20,May 9th   2021,High,0,0
13029,SP,Ernst Mahoney,GAL,A,08/25/1999,L,2.0 Stars,2.0 Stars,N,N,L,H,N,L,Normal,Normal,4 months,30,35,30,30,35,40,25,25,30,Jun. 20th   2021,V.High,2017,239
10974,SP,KEVIN MAJOR,CUR,A,07/18/1996,L,2.0 Stars,2.0 Stars,N,H,N,L,N,L,Normal,Fragile,4 months,40,35,40,30,20,35,20,25,20,Jun. 16th   2021,V.High,2014,78
9236,RP,STEPHEN MILLER,LDN,MLB,04/05/1991,R,2.0 Stars,2.0 Stars,H,N,H,L,H,H,Fan Fav,Fragile,4 months,30,30,25,30,20,25,20,25,20,Feb. 9th   2021,Avg,2009,96
11746,RP,Jason Pigeon,CAL,AAA,04/23/1996,R,2.0 Stars,2.0 Stars,N,H,N,N,H,N,Normal,Normal,4 months,45,45,40,30,35,45,30,25,20,Mar. 16th   2021,High,2015,59
13667,2B,Alex Torres,LON,A,08/10/1998,R,1.5 Stars,2.0 Stars,N,H,N,N,N,N,Normal,Normal,4 months,40,50,40,45,35,60,50,45,45,Jun. 9th   2021,V.High,0,0
16511,SP,Demy Vermunt,LDN,R,12/07/2002,R,1.5 Stars,2.5 Stars,N,N,N,L,N,N,Unknown,Normal,4 months,40,30,25,20,45,25,25,25,20,Jun. 12th   2021,V.High,0,0
15088,RP,Jose Colunga,DEN,A,04/12/2001,S,1.5 Stars,2.0 Stars,H,N,L,L,N,N,Unknown,Normal,3-4 months,25,30,30,25,45,35,35,25,25,Jun. 19th   2021,V.High,2021,236
14250,RP,Calvin Cornell,-,-,04/13/1999,L,1.5 Stars,1.5 Stars,N,N,N,N,N,N,Normal,Fragile,3-4 months,25,30,30,20,40,30,25,20,20,Feb. 11th   2021,V.High,0,0
9700,SP,David Harby,HON,MLB,02/09/1991,R,3.5 Stars,3.5 Stars,N,N,L,N,N,H,Normal,Wrecked,3-4 months,45,45,40,30,20,40,20,30,25,Jul. 5th   2021,V.High,2009,3
12336,1B,JON PAREDES,DEN,AA,02/01/1997,L,1.5 Stars,2.5 Stars,N,N,N,N,N,N,Normal,Durable,3-4 months,45,50,55,55,50,65,25,25,20,May 18th   2021,High,2015,191
11494,SP,EDWIN VILLALOBOS,RME,AAA,05/27/1995,R,2.0 Stars,2.0 Stars,L,N,L,N,L,L,Unmotivated,Fragile,3-4 months,20,25,30,30,35,30,20,20,20,Jun. 17th   2021,V.High,2014,226
14583,RP,Melorran Bennett,TOK,A,05/04/2000,L,1.5 Stars,2.0 Stars,H,N,L,N,N,N,Unknown,Normal,3 months,30,35,35,20,30,40,20,20,20,May 23rd   2021,High,2019,62
8317,SP,Allen Clarke,CLE,AAA,09/20/1989,S,2.5 Stars,2.5 Stars,N,N,H,N,H,N,Sparkplug,Wrecked,3 months,30,30,35,25,20,30,20,35,20,May 7th   2021,V.High,2007,19
5254,SP,Josh Harrington,NKO,MLB,12/09/1978,R,2.5 Stars,2.5 Stars,N,N,N,L,H,H,Fan Fav,Fragile,3 months,20,20,20,25,25,20,25,30,25,Jun. 13th   2021,V.High,0,1
15667,SP,Harm Heijkamp,LON,R,11/17/2002,R,1.0 Stars,2.5 Stars,N,H,N,N,N,N,Unknown,Normal,3 months,35,30,20,30,30,25,25,25,25,May 23rd   2021,High,2021,57
14449,SP,Wafiq Jibril,DEN,AA,04/27/2000,R,1.5 Stars,2.5 Stars,N,N,H,L,N,N,Unknown,Durable,3 months,45,40,30,25,35,40,20,20,20,May 6th   2021,High,2019,75
16210,SP,Tommy McQuinn,SMT,AAA,07/11/2001,R,2.0 Stars,5.0 Stars,L,H,H,N,N,H,Unknown,Fragile,3 months,60,45,25,20,25,25,30,20,20,Jun. 9th   2021,V.High,2020,4
9993,RP,Mike Palmer,CAL,AAA,12/09/1986,R,2.0 Stars,2.0 Stars,N,N,H,H,H,H,Normal,Wrecked,3 months,40,40,30,20,20,35,20,20,20,Jun. 2nd   2021,V.High,2009,54
14397,SS,Mason Scollick,NKO,AA,10/28/1995,R,2.0 Stars,2.0 Stars,N,N,H,N,N,N,Normal,Normal,3 months,50,45,45,50,40,45,25,40,40,May 23rd   2021,V.High,2017,13
14435,RP,Oscar Silander,HAV,MLB,03/01/2000,S,1.5 Stars,2.5 Stars,N,H,N,L,N,N,Unknown,Fragile,3 months,40,40,35,25,45,40,25,25,20,May 24th   2021,V.High,2019,123
15507,SP,Matt Stalker,CLE,R,04/03/2002,L,0.5 Stars,2.0 Stars,N,N,L,N,N,N,Unknown,Normal,3 months,30,25,20,25,30,25,20,25,20,May 18th   2021,High,2021,62
13049,RP,Tony Vasques,ADE,A,11/13/1998,L,1.5 Stars,1.5 Stars,N,H,N,H,N,N,Unknown,Normal,3 months,45,45,35,20,35,45,30,20,20,Mar. 15th   2021,Avg,2020,207
14594,2B,Roberto Carlos,LAP,A,06/27/2000,R,1.5 Stars,2.5 Stars,L,N,N,N,N,N,Unknown,Normal,2-3 months,60,55,50,50,45,50,60,45,45,May 25th   2021,High,2019,187
10933,SP,Jeff Kelley,-,-,04/26/1991,L,2.0 Stars,2.0 Stars,L,N,H,N,H,H,Normal,Fragile,2-3 months,20,20,25,35,35,20,20,25,20,Mar. 2nd   2021,V.High,2013,16
13502,RP,Wijnand Blauw,NKO,AA,11/10/1997,L,1.5 Stars,1.5 Stars,N,N,N,L,N,N,Normal,Fragile,2 months,45,45,30,20,35,45,20,20,20,Mar. 12th   2021,High,0,0
11015,SP,JIMMY CHRISTIANO,DUB,MLB,08/09/1995,S,2.5 Stars,3.0 Stars,L,N,L,N,L,L,Unmotivated,Durable,2 months,20,20,30,25,30,25,25,25,20,Apr. 26th   2021,High,2014,145
11669,RP,ELTON JOHN,LON,AA,12/17/1994,R,1.5 Stars,1.5 Stars,N,L,N,N,N,L,Normal,Normal,2 months,30,30,30,20,45,35,30,30,25,Mar. 10th   2021,High,2013,75
15776,SP,Alberto Ortiz,DUB,AA,08/26/1997,R,2.0 Stars,2.0 Stars,H,N,N,N,N,N,Unknown,Normal,2 months,30,25,20,20,50,25,30,20,25,Jun. 1st   2021,High,2019,66
13944,SP,Mendel Steenbergen,AMS,R,02/23/2000,R,1.5 Stars,2.0 Stars,N,H,N,L,H,N,Normal,Normal,2 months,45,40,30,30,35,40,25,20,20,Mar. 10th   2021,Avg,2018,8
9571,RP,JUSTIN ULBRICHT,AMS,MLB,04/07/1992,R,2.5 Stars,2.5 Stars,N,N,N,N,H,N,Normal,Normal,2 months,30,30,35,25,25,30,20,20,20,Jun. 17th   2021,V.High,2010,49
13059,SP,Azzam Yasar,NKO,A,04/28/1998,L,1.5 Stars,2.0 Stars,N,N,H,H,N,L,Unknown,Normal,2 months,40,40,35,20,35,40,30,25,25,May 25th   2021,V.High,2020,100
12664,SP,Amjad bin Raghib,DEN,AA,02/12/1997,R,1.5 Stars,2.0 Stars,N,N,N,H,N,N,Normal,Normal,8 weeks,25,25,30,25,35,30,25,20,25,Mar. 11th   2021,Avg,0,0
13473,SP,Hiroki Kojima,CUR,A,07/18/1997,L,2.0 Stars,2.0 Stars,N,N,N,N,N,N,Normal,Fragile,8 weeks,35,40,30,25,35,40,30,20,20,Mar. 14th   2021,Avg,0,0
17485,2B,Ron Liston,DEN,R,05/23/2003,R,1.5 Stars,4.5 Stars,H,N,N,N,H,H,Unknown,Durable,8 weeks,80,80,80,45,40,80,65,65,70,May 4th   2021,High,0,0
13966,CF,Phil Shook,HON,AA,06/30/2000,S,1.5 Stars,3.0 Stars,H,N,N,L,H,H,Normal,Normal,7-8 weeks,55,65,80,50,45,75,80,75,75,Jun. 15th   2021,V.High,2018,5
15048,SP,Kurt Tobin,VAN,A,04/10/2001,R,1.5 Stars,2.0 Stars,N,N,N,N,N,N,Unknown,Normal,7-8 weeks,45,45,35,25,45,45,25,20,25,Mar. 12th   2021,Avg,2020,158
11926,SP,Lorenz Buitenkamp,SMT,AAA,12/01/1995,R,2.0 Stars,2.0 Stars,H,N,N,N,H,N,Captain,Normal,7 weeks,50,45,35,25,35,45,25,20,20,Jun. 29th   2021,V.High,0,0
15969,SP,Peter Dalton,VAN,A,01/28/2001,L,1.5 Stars,3.0 Stars,N,N,L,N,L,N,Unknown,Normal,7 weeks,25,25,20,20,30,20,25,20,20,Mar. 15th   2021,Avg,0,0
15282,RP,Sergio Lopez,CUR,R,01/25/2001,R,0.5 Stars,1.5 Stars,L,L,N,H,N,N,Selfish,Normal,7 weeks,45,45,35,25,35,45,25,25,20,Apr. 23rd   2021,Avg,0,0
16483,SP,Nelis Meijers,DEN,A,03/31/2002,L,1.5 Stars,2.5 Stars,L,L,H,H,N,N,Unknown,Normal,7 weeks,30,30,25,25,30,25,20,20,20,Mar. 12th   2021,Avg,0,0
10400,2B,Earl Winton,NKO,MLB,05/05/1994,R,2.5 Stars,3.0 Stars,N,N,N,N,H,L,Normal,Fragile,7 weeks,60,55,55,55,50,50,35,60,35,May 3rd   2021,High,2012,16
16888,RP,Ryan Yohemas,RME,MLB,08/14/1987,R,3.5 Stars,3.5 Stars,U,U,U,U,U,U,Selfish,Normal,6-7 weeks,20,20,20,25,30,20,25,25,20,Jul. 16th   2020,Low,0,0
11963,SP,Jamal al Din bin Rahman,TOK,MLB,03/06/1996,R,2.0 Stars,2.0 Stars,L,N,H,N,N,N,Normal,Fragile,6 weeks,20,20,30,25,35,25,30,25,20,Jul. 3rd   2021,V.High,0,0
15712,SP,Rex Grenfell,SMT,A,04/08/2003,L,1.0 Stars,2.5 Stars,L,L,H,H,L,N,Unknown,Normal,6 weeks,30,25,25,25,30,25,25,20,20,Jun. 29th   2021,V.High,2021,39
13896,SP,Ricky Rivera,VAN,A,09/23/2000,R,1.5 Stars,2.0 Stars,N,N,H,N,N,N,Outspoken,Durable,6 weeks,25,30,30,25,35,35,20,20,20,Jun. 6th   2021,V.High,2018,114
15707,SP,Mike Sutton  Jr,STU,R,09/07/2002,L,1.0 Stars,4.5 Stars,N,N,H,L,H,N,Unknown,Normal,6 weeks,40,35,30,30,30,25,30,25,20,Mar. 29th   2021,High,2021,6
8007,SP,BOBBY SWISHER,CLE,AAA,09/14/1987,R,2.5 Stars,2.5 Stars,N,N,N,L,N,L,Normal,Fragile,6 weeks,35,35,35,20,20,30,30,35,25,Jun. 2nd   2021,V.High,2006,23
16387,SS,Osvaldo Violante,CUR,AAA,04/26/1998,R,2.0 Stars,3.0 Stars,N,N,H,N,N,N,Unknown,Normal,6 weeks,55,65,80,45,50,70,60,40,40,Mar. 10th   2021,High,2020,70
13255,SP,Victor Escobar,DEN,AA,10/07/1997,R,1.5 Stars,2.0 Stars,H,H,H,N,H,N,Captain,Normal,5-6 weeks,25,30,35,35,40,40,25,20,20,Jun. 1st   2021,V.High,2017,31
14403,RP,Urs Atema,HON,AA,12/09/1995,L,2.0 Stars,2.0 Stars,L,N,N,N,N,N,Normal,Normal,5 weeks,45,45,30,25,40,45,30,25,20,Mar. 12th   2021,High,2018,221
15796,SP,Isa bin Mufeed,CUR,A,03/09/1998,R,1.5 Stars,2.0 Stars,N,N,L,N,L,L,Unknown,Normal,5 weeks,25,25,25,25,30,20,25,25,20,Jul. 1st   2021,V.High,2020,110
15853,SP,Kevin Hardy,AMS,R,08/23/2002,R,1.5 Stars,2.0 Stars,H,N,L,L,N,N,Unknown,Normal,5 weeks,25,25,25,25,30,30,30,20,20,Jun. 26th   2021,V.High,2021,206
16391,RF,Benjamin Irving,LDN,A,05/25/1998,L,2.0 Stars,2.5 Stars,N,N,N,N,N,N,Unknown,Normal,5 weeks,50,55,80,55,50,55,65,55,55,May 18th   2021,V.High,2020,31
5852,SP,Israel Martinez,DUB,AAA,01/12/1980,L,2.0 Stars,2.0 Stars,L,N,N,N,N,N,Normal,Fragile,5 weeks,20,20,20,20,20,20,20,25,25,Mar. 13th   2021,High,0,643
11024,LF,JASON PARKER,CUR,AAA,08/11/1996,L,2.0 Stars,2.5 Stars,N,N,N,N,L,H,Normal,Normal,5 weeks,60,60,50,40,60,55,35,45,40,Jun. 4th   2021,V.High,2015,228
12227,SP,Ewan de Vet,RME,AA,04/30/1996,R,2.0 Stars,2.5 Stars,N,N,N,N,N,N,Prankster,Fragile,4-5 weeks,45,45,35,25,45,40,30,25,30,May 21st   2021,V.High,0,0
15126,SP,Kenyu Nakamoto,STU,R,12/02/2001,R,1.5 Stars,2.0 Stars,N,N,N,L,H,H,Unknown,Normal,4-5 weeks,40,40,30,25,35,40,25,25,25,May 25th   2021,High,2020,59
12006,RP,Lílian Cassadora,LDN,AA,02/12/1996,R,1.5 Stars,1.5 Stars,N,H,N,N,N,N,Normal,Fragile,4 weeks,45,45,30,25,35,45,20,20,20,Mar. 16th   2021,High,0,0
15856,SP,Nick Gaspard,CLE,R,01/18/2003,R,1.0 Stars,2.0 Stars,N,N,N,N,N,N,Unknown,Normal,4 weeks,30,25,25,25,35,25,30,25,25,Jul. 5th   2021,V.High,2021,145
12185,RP,Ivan Govedarica,CUR,MLB,08/31/1995,R,2.0 Stars,2.0 Stars,N,N,N,L,H,N,Normal,Fragile,4 weeks,45,45,35,30,45,45,30,25,20,Jun. 4th   2021,V.High,0,0
9214,RF,Jimmy Grey,CLE,MLB,05/21/1990,R,2.5 Stars,2.5 Stars,N,N,N,N,N,N,Outspoken,Normal,4 weeks,50,50,55,50,55,50,30,60,45,May 25th   2021,V.High,2009,17
15361,CF,Hyun-woo Jung,HON,A,11/26/2000,R,1.5 Stars,2.0 Stars,N,N,N,L,N,N,Normal,Durable,4 weeks,45,55,65,30,35,65,75,75,80,May 25th   2021,High,0,0
8005,SP,JUSTIN MOORE,GAL,MLB,05/17/1987,R,2.5 Stars,2.5 Stars,L,N,L,N,N,N,Normal,Normal,4 weeks,30,30,25,30,30,30,25,35,35,Jun. 17th   2021,V.High,2006,20
13343,SP,Jamie Munson,CLE,AAA,04/14/1998,L,2.0 Stars,3.0 Stars,N,H,L,N,L,L,Unmotivated,Fragile,4 weeks,35,40,30,20,35,40,30,25,20,Jun. 10th   2021,V.High,2018,7
11611,RP,HAMZAH QASIM,LON,AAA,12/25/1996,R,2.0 Stars,2.0 Stars,N,L,N,N,N,L,Normal,Normal,4 weeks,30,35,30,25,35,40,25,20,20,Jun. 25th   2021,V.High,2015,141
9982,C,Robert Schneider,VAN,MLB,06/03/1990,R,3.0 Stars,3.0 Stars,H,L,L,N,N,N,Normal,Normal,4 weeks,45,45,45,50,50,50,40,55,55,May 5th   2021,High,2009,29
15689,SP,Elmar Tijhuis,DUB,R,05/27/2002,L,1.5 Stars,3.0 Stars,N,N,N,N,N,N,Unknown,Normal,4 weeks,40,30,25,20,25,20,30,20,20,May 14th   2021,High,2021,21
15080,SP,John Atkinson,STU,R,05/22/2001,L,0.5 Stars,2.0 Stars,U,U,U,U,U,U,Unknown,Normal,3-4 weeks,45,45,40,20,40,40,25,30,35,Jul. 14th   2020,Low,2020,154
13100,CF,Harold Rees,RME,AAA,02/14/1999,R,2.0 Stars,2.5 Stars,H,N,H,N,N,N,Normal,Normal,3-4 weeks,55,55,60,55,50,55,70,70,75,May 18th   2021,V.High,2017,53
11121,RP,Jordan Rendon,LDN,MLB,12/20/1993,L,2.0 Stars,2.0 Stars,N,N,L,N,H,H,Normal,Normal,3-4 weeks,40,40,30,25,40,40,20,25,25,May 7th   2021,V.High,0,0
15160,RP,Jorge Romero,LDN,R,06/15/2000,R,0.5 Stars,1.5 Stars,N,H,N,L,H,N,Humble,Normal,3-4 weeks,30,35,35,20,30,40,20,20,20,Mar. 11th   2021,Avg,0,0
13378,SP,Abdul-Halim bin Ata,GAL,A,12/23/1998,L,1.5 Stars,2.0 Stars,N,N,N,L,N,N,Normal,Normal,3 weeks,30,30,35,20,30,35,40,25,20,Jun. 20th   2021,V.High,2018,100
